room------------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
hotel------------------------------------------------------------ {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
staff------------------------------------------------------------ {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
friendly--------------------------------------------------------- {'neg': 0.0, 'compound': 0.4939, 'neu': 0.0, 'pos': 1.0}
breakfast-------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
buffet----------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
style------------------------------------------------------------ {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
selection-------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
food------------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
cheese----------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
location--------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
hotel------------------------------------------------------------ {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
perfect---------------------------------------------------------- {'neg': 0.0, 'compound': 0.5719, 'neu': 0.0, 'pos': 1.0}
night------------------------------------------------------------ {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
life------------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
beach------------------------------------------------------------ {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
walk------------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
away------------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
location--------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
baga------------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
party------------------------------------------------------------ {'neg': 0.0, 'compound': 0.4019, 'neu': 0.0, 'pos': 1.0}
area------------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
vagator---------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
ride------------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
location--------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
quite------------------------------------------------------------ {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
location--------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
probably--------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
night------------------------------------------------------------ {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
life------------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
beach------------------------------------------------------------ {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
beach------------------------------------------------------------ {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
hotel------------------------------------------------------------ {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
tito------------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
hotel------------------------------------------------------------ {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
property--------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
reception-------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
probably--------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
nothing---------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
property--------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
ill-------------------------------------------------------------- {'neg': 1.0, 'compound': -0.4215, 'neu': 0.0, 'pos': 0.0}
property--------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
broken----------------------------------------------------------- {'neg': 1.0, 'compound': -0.4767, 'neu': 0.0, 'pos': 0.0}
norm------------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
easily----------------------------------------------------------- {'neg': 0.0, 'compound': 0.34, 'neu': 0.0, 'pos': 1.0}
quite------------------------------------------------------------ {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
room------------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
block------------------------------------------------------------ {'neg': 1.0, 'compound': -0.4404, 'neu': 0.0, 'pos': 0.0}
swimming--------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
existent--------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
day-------------------------------------------------------------- {'neg': 0.0, 'compound': 0.0, 'neu': 1.0, 'pos': 0.0}
